family,best_feature,abs_PCC_with_Ca,GRG_with_Ca
Vmax,Vmax_std,0.8389702168806727,0.8114865767260071
Vpack,Vpack_std,0.8383188443442583,0.8132866499025978
Vmin,Vmin_std,0.8345729035465569,0.8059246913595255
I,I_ave,0.6581802640076992,0.7040667169368756
Vd,Vd_ave,0.5210405440171427,0.6715666207846741
SOC,SOC_std,0.4403693952652144,0.7223978216851868
Td,Td_sum,0.35069950536468486,0.7627421295687516
Tmax,Tmax_sum,0.3348104043254522,0.7470812990348868
Tmin,Tmin_sum,0.3322907444168211,0.7451287227643424
